Title,price,Image
Title,price,Image
"['MarQ by Flipkart 27 inch Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Monitor (27FHDMVQIIZB)', '\xa0\xa0(Response Time: 5 ms, 75 Hz Refresh Rate)']","['₹8,999']"
"['MarQ by Flipkart 32 inch Curved Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Gaming Monitor (32FHDMCQII1G)', '\xa0\xa0(AMD Free Sync, Response Time: 5 ms, 165 Hz Refresh Rate)']","['₹13,999']"
"['Acer Nitro 23.8 inch Full HD LED Backlit IPS Panel Gaming Monitor (VG240Y)', '\xa0\xa0(Response Time: 0.5 ms, 165 Hz Refresh Rate)']","['₹11,599']"
"['Acer 23.8 inch Full HD LED Backlit IPS Panel Monitor (HA240Y)', '\xa0\xa0(AMD Free Sync, Response Time: 4 ms, 75 Hz Refresh Rate)']","['₹8,999']"
"['DELL S Series 27 inch Full HD IPS Panel Ultra Slim Bezel Monitor (S2721HNM / S2721HN)', '\xa0\xa0(AMD Free Sync, Response Time: 4 ms, 75 Hz Refresh Rate)']","['₹14,278']"
"['Acer NITRO 21.5 inch Full HD LED Backlit VA Panel with Acer Display Widget, Acer VisionCare, Tilt-able Stand, 2X2W Inbuilt Speaker, VESA wall mount support Gaming Monitor (QG221Q H)', '\xa0\xa0(Frameless, AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate)']","['₹6,999']"
"['Acer 21.5 inch Full HD IPS Panel White Color Ultra Slim Monitor (HA220Q)', '\xa0\xa0(Frameless, AMD Free Sync, Response Time: 4 ms, 75 Hz Refresh Rate)']","['₹8,299']"
"['SAMSUNG 22 inch Full HD IPS Panel Monitor (LF22T354FHWXXL/LS22C310EAWXXL)', '\xa0\xa0(Response Time: 5 ms, 75 Hz Refresh Rate)']","['₹8,199']"
"['Acer 23.6 inch Curved Full HD VA Panel with VESA Mount Support, 1500R Curvature, HDMI 1.4, Integrated Speakers Gaming Monitor (ED240Q)', '\xa0\xa0(AMD Free Sync, Response Time: 1 ms, 75 Hz Refresh Rate)']","['₹8,299']"
"['ZEBRONICS 21.5 inch Full HD TN Panel Wall mountable, Anti-Glare display, Sleek Design Monitor (Zeb-A22FHD LED)', '\xa0\xa0(Response Time: 5 ms, 60 Hz Refresh Rate)']","['₹5,199']"
